N,Z,A,True_BE_MeV,MISR_Pred_MeV,MISR_Error,Base_SR_Pred_MeV,Base_SR_Error
43,23,66,521.004,537.5866295661273,-16.582629566127252,521.9162470413324,-0.9122470413324208
46,43,89,752.1012462000001,755.8105019144585,-3.709255714458436,751.5368004016842,0.5644457983158873
41,31,72,625.4704295999999,620.6938914108928,4.7765381891071,626.8793814554416,-1.4089518554417282
32,21,53,450.1201225,447.6967236084252,2.4233988915747773,448.517237545142,1.6028849548579842
51,46,97,824.7357391,827.2533191149095,-2.517580014909413,823.7929270521823,0.9428120478177107
35,17,52,384.072,427.0109307756749,-42.93893077567492,383.1336566689778,0.9383433310222244
38,31,69,601.9960061999999,594.7375515608023,7.258454639197566,602.7630508463618,-0.76704464636191
50,47,97,817.0515737000001,818.5244036118758,-1.4728299118756922,817.2464519479788,-0.19487824797874964
37,19,56,429.128,455.4441230686448,-26.3161230686448,429.04216256757707,0.0858374324229203
57,37,94,798.3198536,799.3202522378477,-1.000398637847752,797.0163649321001,1.3034886678998419
74,46,120,1002.8498040000002,1003.7838206781419,-0.9340166781416883,1003.0550949929535,-0.20529099295333708
22,16,38,321.0537502,323.71754460320307,-2.663794403203042,322.9317419495863,-1.877991749586272
44,31,75,649.5567374999999,643.8557882473486,5.700949252651299,649.6897505473751,-0.13301304737512964
62,43,105,896.1337770000001,899.571245371697,-3.437468371696923,896.3709636915553,-0.23718669155516636
25,20,45,388.3746015,384.5806224534895,3.793979046510458,389.86892635083524,-1.4943248508352553
39,40,79,653.093,651.0559490586879,2.0370509413120317,653.0621044674522,0.030895532547788207
36,26,62,538.9587521999999,532.0605622624452,6.8981899375547755,539.7133994329879,-0.7546472329879634
38,22,60,489.167148,491.8336177631985,-2.6664697631985064,492.2794938954344,-3.11234589543443
67,44,111,938.2783601999998,941.8872887461769,-3.608928546177026,938.2052045613494,0.07315563865040531
25,17,42,350.5272288,355.2474870362395,-4.720258236239488,351.94331845808955,-1.416089658089561
62,49,111,945.9733464,951.9933056421319,-6.019959242131904,945.9431364041262,0.030209995873747175
69,39,108,877.932,877.7931960490199,0.13880395098010467,877.0978203005102,0.8341796994898232
49,37,86,747.9335204,746.449886887878,1.483633512121969,746.413153742874,1.5203666571260328
20,17,37,317.1004192,316.67190364453745,0.42851555546252484,316.66906383529295,0.43135536470703073
45,37,82,709.0890549999999,708.4321846920799,0.6568703079200304,709.8332629016568,-0.7442079016568641
54,29,83,667.652,670.4750911676588,-2.823091167658731,667.9753904668281,-0.32339046682807293
52,41,93,805.7691957000001,805.6138659758182,0.15532972418191093,804.9322655536223,0.8369301463777674
41,29,70,605.280585,600.0407783373164,5.239806662683577,606.1292141853103,-0.8486291853103012
72,43,115,950.36,951.5318062645882,-1.1718062645882128,950.5438062635891,-0.18380626358907648
44,39,83,711.6135393000001,711.1808690247444,0.4326702752556457,711.0878219054231,0.5257173945769864
53,33,86,727.278049,724.2694649390468,3.0085840609532397,725.9257045766175,1.352344423382533
22,12,34,256.7133246,263.91129415390384,-7.1979695539038175,258.086281588531,-1.372956988530973
35,20,55,446.92593,449.3248074433345,-2.398877443334527,446.2554082094224,0.6705217905775953
30,25,55,482.0763585,474.5013340594951,7.575024440504933,480.288511754767,1.7878467452330256
55,41,96,828.3731328,829.6571762024713,-1.2840434024712977,826.8618897981926,1.5112430018074292
27,16,43,346.7445868,355.46943311627547,-8.724846316275489,346.77152128742193,-0.026934487421954145
62,45,107,915.289128,919.587075059208,-4.297947059208013,915.8399623581178,-0.5508343581177542
23,20,43,369.8286079,366.25008321017026,3.5785246898297487,372.0096479396851,-2.181040039685115
17,15,32,270.85184960000004,270.717835241566,0.13401435843405807,269.63475504659493,1.2170945534051043
32,20,52,438.3278692,433.7385747172282,4.589294482771834,435.56693926092623,2.760929939073776
44,30,74,639.5638478,632.1054229386398,7.458424861360186,640.0988720974873,-0.5350242974873254
46,28,74,624.042,616.3488402748637,7.693159725136297,624.4601866445042,-0.4181866445042033
51,39,90,782.404002,781.5011839588436,0.9028180411563653,779.3965762226541,3.0074257773459294
65,45,110,935.468061,940.8510985233343,-5.383037523334224,936.0499093848247,-0.5818483848246387
26,13,39,283.14,302.54049173332,-19.400491733319996,284.52432319759833,-1.3843231975983485
44,24,68,545.768,553.5696073835106,-7.8016073835106,546.3626264001774,-0.5946264001773898
13,15,28,221.4095576,219.585157490186,1.8244001098140075,221.78615644760114,-0.37659884760114437
42,25,67,554.827,554.9512254546604,-0.12422545466040447,554.8119220924348,0.015077907565228088
45,46,91,744.653,750.970780868567,-6.317780868566956,744.945479159458,-0.2924791594580256
49,31,80,680.6763599999999,677.4292194846623,3.2471405153376054,679.8128808171656,0.8634791828343396
15,21,36,257.976,265.76552899277976,-7.789528992779765,257.0076720578269,0.9683279421731186
25,14,39,301.5081927,314.2254647717985,-12.717272071798504,301.9748988771106,-0.46670617711060913
36,18,54,409.212,435.5662383464638,-26.35423834646383,410.32136236843337,-1.1093623684333807
25,24,49,422.0506073,415.80364642790414,6.246960872095883,421.3100258643427,0.7405814356573046
65,37,102,831.5799185999999,831.227818164987,0.3521004350129715,831.4614048227792,0.1185137772207554
50,41,91,789.0517453000001,787.3137226408035,1.7380226591966448,788.5085688558826,0.5431764441175346
63,46,109,931.3921925,936.4351256887032,-5.042933188703273,932.3982619175166,-1.0060694175166418
15,19,34,260.78,263.9427384617248,-3.162738461724814,258.5024807782489,2.2775192217510494
41,28,69,594.9938861999999,588.370422093553,6.6234641064469315,596.9039033994176,-1.9100171994176662
17,23,40,292.4,300.95185503777526,-8.551855037775283,293.18473467980965,-0.7847346798096737
20,20,40,342.052184,335.8027344716882,6.2494495283118,341.12408940694803,0.9280945930519806
39,23,62,507.640903,511.5179631360672,-3.8770601360672003,508.7162572767633,-1.0753542767633348
49,39,88,764.0634848,763.9781075198164,0.08537728018359303,762.4130500805247,1.6504347194752427
49,34,83,718.660148,715.4678272614958,3.192320738504236,718.4859241194334,0.17422388056661475
55,33,88,734.888,732.1925481802143,2.695451819785717,733.8255495094647,1.0624504905352978
37,26,63,543.7876437,539.1379799638888,4.649663736111165,544.2671357600289,-0.4794920600288606
64,37,101,828.8237053,828.1391651856293,0.6845401143707477,828.9679115495056,-0.14420624950560068
36,25,61,524.5338576999999,521.5042944959276,3.0295632040722467,524.4918241107871,0.04203358921279232
88,50,138,1120.284,1110.3543818619705,9.929618138029582,1120.710754814657,-0.42675481465698795
66,48,114,972.592539,977.4606757262032,-4.868136726203261,974.6106526165613,-2.0181136165613225
54,35,89,759.2394377999999,757.0021775153022,2.2372602846977543,757.7197251784233,1.5197126215765593
65,49,114,970.3650588000002,978.1042179073362,-7.739159107336036,970.5298865608512,-0.16482776085103978
21,26,47,366.13,374.07848623482846,-7.948486234828465,366.08352343251636,0.046476567483637155
35,30,65,567.07729,559.0419362919647,8.035353708035245,568.0007364452234,-0.9234464452234761
52,49,101,845.413026,846.1859297851094,-0.7729037851094063,845.0444236730378,0.3686023269621046
33,18,51,404.022,413.2445811138477,-9.222581113847696,401.8413004147175,2.1806995852824684
31,23,54,467.7554628,464.80561431658924,2.949848483410733,467.2256597001372,0.529803099862761
39,20,59,454.772,483.37090012356407,-28.59890012356408,457.14988061664377,-2.377880616643779
37,22,59,484.862,487.2250655627595,-2.3630655627594592,486.29657875410726,-1.4345787541072355
19,16,35,298.8247885,299.56216485509617,-0.7373763550961598,297.93615650123223,0.888631998767778
22,17,39,331.2817248,333.77100749774115,-2.489282697741146,333.1730291768131,-1.891304376813082
19,21,40,326.946788,329.4691604446785,-2.522372444678467,327.8773833427234,-0.9305953427233931
76,43,119,966.994,964.0476283816928,2.9463716183072393,967.4911986402374,-0.49719864023734317
35,34,69,586.7558657999999,582.9630172255647,3.7928485744351974,587.3121722883692,-0.5563064883692732
25,30,55,434.72,441.3049636935756,-6.58496369357556,434.23578327637136,0.48421672362866275
26,17,43,357.9262896,362.15180846778816,-4.225518867788139,358.4148316081744,-0.4885420081743632
44,25,69,562.695,564.476631960691,-1.781631960690902,562.4786092470976,0.2163907529024982
16,20,36,281.3716764,283.14952481081104,-1.777848410811032,278.9253724661756,2.4463039338244243
76,44,120,983.88,980.5883246543859,3.291675345614067,984.2614642519458,-0.38146425194577205
67,39,106,870.79,871.2013787036436,-0.41137870364366336,870.986686942425,-0.1966869424250035
28,26,54,471.7647683999999,462.0410685987175,9.723699801282407,470.5317749826253,1.2329934173746437
47,26,73,592.833,593.747070952128,-0.914070952127986,591.8239174958177,1.0090825041822882
63,42,105,891.960615,894.7030809967769,-2.7424659967769003,891.8320265054826,0.12858849451731658
82,47,129,1056.252,1049.5410483428514,6.710951657148598,1056.232015911564,0.0199840884358764
41,35,76,656.327108,653.1322196418434,3.194888358156504,656.7472821515361,-0.42017415153611637
49,46,95,800.7531665,804.303636147307,-3.5504696473069544,801.0831294645716,-0.32996296457156404
31,26,57,499.9061253,490.9990369842748,8.907088315725161,498.2250103555336,1.681114944466401
61,38,99,831.8498265,832.767564733196,-0.9177382331960189,831.1193559490782,0.7304705509217229
